iter	RMSE
0	536.3399803
1	535.8203589
2	535.4681726
3	535.1409112
4	535.0512117
5	534.6654393
6	534.2322268
7	534.0377497
8	533.6371173
9	533.19255
10	532.9042724
11	532.4750012
12	532.1360568
13	532.0841795
14	531.8165463
15	531.3967328
16	531.0491091
17	530.7071035
18	530.3009086
19	530.2754739
20	529.8707234
21	529.3893809
22	528.8888169
23	528.4463483
24	528.1825177
25	527.9140959
26	527.6147448
27	527.4288711
28	527.2119188
29	526.9591572
30	526.8978229
31	526.8031056
32	526.793679
33	526.5197998
34	526.1719905
35	525.7482709
36	525.4777103
37	525.2065635
38	524.9238228
39	524.7251017
40	524.4929462
41	524.2710798
42	523.9185155
43	523.6441646
44	523.4609029
45	523.0772206
46	522.7218056
47	522.5290149
48	522.346977
49	522.1236111
50	521.8140761
51	521.53546
52	521.3685362
53	521.281698
54	521.1244195
55	521.075537
56	521.0457668
57	520.7867771
58	520.6181543
59	520.287267
60	520.2586548
61	520.1492038
62	519.8898081
63	519.7596179
64	519.6223071
65	519.5782585
66	519.4626387
67	519.2193456
68	519.0082849
69	518.7454185
70	518.3471495
71	518.2002365
72	518.0326835
73	517.8134662
74	517.4830245
75	517.416985
76	517.1969662
77	516.9149224
78	516.7666553
79	516.7533095
80	516.5840424
81	516.5268775
82	516.3130738
83	516.0912958
84	516.0633874
85	516.0059244
86	515.893486
87	515.8494551
88	515.7945024
89	515.5916081
90	515.5192808
91	515.2997008
92	515.0277913
93	514.912068
94	514.6744613
95	514.4107986
96	514.1894679
97	514.1091909
98	513.8085521
99	513.6346963
