iter	Passed	Remaining
0	26	2583
1	44	2203
2	63	2044
3	82	1983
4	100	1904
5	117	1833
6	134	1780
7	151	1740
8	168	1699
9	184	1663
10	205	1662
11	227	1668
12	249	1671
13	272	1675
14	296	1677
15	316	1661
16	334	1633
17	353	1609
18	370	1579
19	389	1556
20	407	1531
21	426	1511
22	447	1498
23	469	1486
24	488	1464
25	508	1446
26	527	1426
27	545	1403
28	564	1381
29	581	1356
30	598	1332
31	617	1313
32	636	1293
33	655	1271
34	674	1251
35	692	1231
36	710	1210
37	728	1188
38	745	1166
39	764	1146
40	781	1124
41	798	1103
42	817	1083
43	835	1063
44	854	1044
45	884	1038
46	904	1020
47	922	999
48	940	978
49	957	957
50	974	936
51	991	915
52	1008	894
53	1027	875
54	1047	856
55	1067	839
56	1086	819
57	1105	800
58	1122	780
59	1140	760
60	1158	740
61	1175	720
62	1192	700
63	1211	681
64	1230	662
65	1248	643
66	1268	624
67	1287	605
68	1306	586
69	1324	567
70	1341	547
71	1358	528
72	1376	508
73	1393	489
74	1410	470
75	1429	451
76	1448	432
77	1467	413
78	1485	394
79	1503	375
80	1521	356
81	1538	337
82	1555	318
83	1574	299
84	1594	281
85	1613	262
86	1631	243
87	1650	225
88	1668	206
89	1687	187
90	1705	168
91	1723	149
92	1741	131
93	1758	112
94	1778	93
95	1797	74
96	1815	56
97	1833	37
98	1851	18
99	1881	0
